,count,mean,std,min,25%,50%,75%,max,missing_count,missing_pct
Tour_B_(TGBT_D5) V L3-L1 (V) [MAX] ,57403.0,383.8509559827235,41.33278233256846,196.5,390.8,393.1,395.2,410.3,2789,4.633506113769272
Tour_B_(TGBT_D5) V L3-N (V) [MIN] ,57403.0,216.01798412946852,42.73517658470247,23.8,224.2,225.7,226.9,230.3,2789,4.633506113769272
Tour_B_(TGBT_D5) V L3-N (V) [AVG] ,57403.0,216.5939050737847,42.821037178478846,23.95,224.84,226.28,227.48,230.73,2789,4.633506113769272
Tour_B_(TGBT_D5) V L3-N (V) [MAX] ,57403.0,217.16992274030756,42.92368615487631,24.0,225.4,226.9,228.1,234.0,2789,4.633506113769272
Tour_B_(TGBT_D5) V L-L sys (V) [MIN] ,57403.0,385.4497443685147,25.162158473889903,0.0,388.7,391.2,393.2,398.9,2789,4.633506113769272
Tour_B_(TGBT_D5) V L-L sys (V) [AVG] ,57403.0,386.31034740827846,25.152777561752107,270.78,389.6,391.98,393.99,399.28,2789,4.633506113769272
Tour_B_(TGBT_D5) V L-L sys (V) [MAX] ,57403.0,387.08585135798575,25.210907845418568,271.1,390.4,392.7,394.7,410.3,2789,4.633506113769272
Tour_B_(TGBT_D5) V L-N sys (V) [MIN] ,57403.0,222.38284543623942,14.32745620643431,150.3,224.2,225.6,226.8,230.1,2789,4.633506113769272
Tour_B_(TGBT_D5) V L-N sys (V) [AVG] ,57403.0,222.90630833954472,14.347149265707456,157.17,224.75,226.15,227.32,230.32,2789,4.633506113769272
Tour_B_(TGBT_D5) V L-N sys (V) [MAX] ,57403.0,223.39718064308101,14.380956068354253,157.4,225.3,226.6,227.8,233.5,2789,4.633506113769272
Tour_B_(TGBT_D5) kW dmd (kW) [MIN] ,57403.0,4.160310405214257,4.595937173952189,0.0,2.32,2.86,4.165,73.02,2789,4.633506113769272
Tour_B_(TGBT_D5) kW dmd (kW) [AVG] ,57403.0,4.160310405214257,4.595937173952189,0.0,2.32,2.86,4.165,73.02,2789,4.633506113769272
Tour_B_(TGBT_D5) kW dmd (kW) [MAX] ,57403.0,4.160310405214257,4.595937173952189,0.0,2.32,2.86,4.165,73.02,2789,4.633506113769272
Tour_B_(TGBT_D5) Totalizer 1  [ABS] ,0.0,,,,,,,,60192,100.0
Tour_B_(TGBT_D5) Totalizer 2  [ABS] ,0.0,,,,,,,,60192,100.0
Tour_B_(TGBT_D5) Totalizer 3  [ABS] ,0.0,,,,,,,,60192,100.0
Tour_B_(TGBT_D5) kVA L1 (kVA) [MIN] ,57403.0,1.201400558713715,1.432196897162055,0.0,0.54,0.81,1.31,25.33,2789,4.633506113769272
