,count,mean,std,min,25%,50%,75%,max,missing_count,missing_pct
TOUR_A_(TGBT_D14) V L2-N (V) [MIN] ,54627.0,225.77411447179986,1.7924407189636886,140.8,224.6,226.0,227.1,230.4,5565,9.245414673046252
TOUR_A_(TGBT_D14) V L2-N (V) [AVG] ,54627.0,226.4215633229704,1.7032559845387987,217.39,225.3,226.58,227.69,230.72,5565,9.245414673046252
TOUR_A_(TGBT_D14) V L2-N (V) [MAX] ,54627.0,227.0189298964887,1.7020645813936297,218.0,225.9,227.2,228.3,235.6,5565,9.245414673046252
TOUR_A_(TGBT_D14) V L3-L1 (V) [MIN] ,54627.0,390.94013633158414,2.9980519865374804,337.0,389.0,391.2,393.1,398.9,5565,9.245414673046252
TOUR_A_(TGBT_D14) V L3-L1 (V) [AVG] ,54627.0,391.9312723868411,2.887308096705733,376.46,390.03,392.15,394.06,399.39,5565,9.245414673046252
TOUR_A_(TGBT_D14) V L3-L1 (V) [MAX] ,54627.0,392.88909344888395,2.8796491176637593,377.0,391.0,393.1,395.0,403.6,5565,9.245414673046252
TOUR_A_(TGBT_D14) V L3-N (V) [MIN] ,54627.0,225.51258628135915,1.8743598049054888,146.0,224.4,225.7,226.8,230.2,5565,9.245414673046252
TOUR_A_(TGBT_D14) V L3-N (V) [AVG] ,54627.0,226.0986200090637,1.7463104307533062,216.81,224.96,226.25,227.38,230.53,5565,9.245414673046252
TOUR_A_(TGBT_D14) V L3-N (V) [MAX] ,54627.0,226.69312274411945,1.7422241986918106,217.2,225.6,226.8,228.0,232.9,5565,9.245414673046252
TOUR_A_(TGBT_D14) V L-L sys (V) [MIN] ,54627.0,390.9683591369189,3.0254499138931723,356.1,389.0,391.2,393.2,398.7,5565,9.245414673046252
TOUR_A_(TGBT_D14) V L-L sys (V) [AVG] ,54627.0,391.8297159151317,2.9076328173104176,376.48,389.9,392.06,393.99,399.16,5565,9.245414673046252
TOUR_A_(TGBT_D14) V L-L sys (V) [MAX] ,54627.0,392.61814576254613,2.8824591232284065,376.9,390.7,392.8,394.7,403.7,5565,9.245414673046252
TOUR_A_(TGBT_D14) V L-N sys (V) [MIN] ,54627.0,225.52035630990278,1.7592256528546444,197.0,224.4,225.7,226.8,230.0,5565,9.245414673046252
TOUR_A_(TGBT_D14) V L-N sys (V) [AVG] ,54627.0,226.0478430723525,1.6964356245419587,217.08,224.93,226.19,227.3,230.26,5565,9.245414673046252
TOUR_A_(TGBT_D14) V L-N sys (V) [MAX] ,54627.0,226.54648075246075,1.6890077546991535,217.3,225.4,226.7,227.8,233.1,5565,9.245414673046252
TOUR_A_(TGBT_D14) kW dmd (kW) [MIN] ,54627.0,3.637512946704356,2.788355372630314,0.0,2.04,2.54,3.88,20.0,5565,9.245414673046252
TOUR_A_(TGBT_D14) kW dmd (kW) [AVG] ,54627.0,3.637512946704356,2.788355372630314,0.0,2.04,2.54,3.88,20.0,5565,9.245414673046252
TOUR_A_(TGBT_D14) kW dmd (kW) [MAX] ,54627.0,3.637512946704356,2.788355372630314,0.0,2.04,2.54,3.88,20.0,5565,9.245414673046252
TOUR_A_(TGBT_D14) Totalizer 1  [ABS] ,0.0,,,,,,,,60192,100.0
TOUR_A_(TGBT_D14) Totalizer 2  [ABS] ,0.0,,,,,,,,60192,100.0
